Device,Electrical Components,Hazardous Materials,Health & Environmental Impact,Recyclability
Power-Adapter,"Transformer, PCB, Copper wiring, Plastic casing","Lead, PVC, Brominated Flame Retardants (BFRs), Phthalates","Environmental degradation, plastic micro-particle release",Recyclable: Metal components and wires can be recovered
CRT-Monitor,"LCD panel, Fluorescent backlight, Circuit board, Glass, Plastic casing","Mercury, Lead, Arsenic, Indium, Brominated Flame Retardants (BFRs)","Heavy metal toxicity, improper disposal causes arsenic leaching, mercury harms aquatic life","CRT screens require special disposal, metals and plastics can be recovered from LCDs"
Computer-Mouse,"Optical sensor, PCB, Plastic casing, Scroll wheel, Battery (wireless models)","Lead, Brominated Flame Retardants (BFRs), PVC, Phthalates","Landfill pollution, microplastic contamination",Limited recyclability: Plastics and metal parts can be recovered
Printer,"Ink cartridges, Stepper motors, PCB, Plastic casing, Heating elements","Lead, Brominated Flame Retardants (BFRs), Volatile Organic Compounds (VOCs), Carbon black","Air and soil pollution, VOC exposure causes respiratory issues, carbon black linked to lung damage","Ink cartridges can be refilled, metal & plastic parts recyclable"
Radio,"Speaker, PCB, Power supply, Antenna, Plastic casing","Lead, Brominated Flame Retardants (BFRs), PVC","Toxic fumes, persistent pollutants","Metal & plastic can be recycled, but small PCBs are difficult to recover"
Refrigerator,"Compressor, Coolant, Circuit board, Insulation foam, Plastic shelves","CFCs, HCFCs, Lead, Mercury, Polyurethane","Ozone depletion, refrigerant leaks cause greenhouse gas emissions, polyurethane foam is non-biodegradable",Specialized recycling required to safely remove refrigerants
TV-Remote-Control,"PCB, Battery, IR Sensor, Plastic casing, Rubber buttons","Lead, Mercury, Brominated Flame Retardants (BFRs), PVC","Water contamination, improper battery disposal causes chemical leaks","Batteries require special recycling, plastic casing can be processed"
Router,"Circuit board, Antenna, Power supply, Plastic casing","Lead, Brominated Flame Retardants (BFRs), Plastics, Antimony","Persistent organic pollutants, e-waste accumulation","Metal and plastic parts are recyclable, PCB recovery requires special processes"
Smart-Watch,"Battery, PCB, Sensors, OLED screen, Plastic & metal casing","Lithium, Lead, Brominated Flame Retardants (BFRs), Indium","Battery leakage causes pollution, hazardous waste accumulation",Limited recyclability: Batteries require special disposal
Speaker,"PCB, Magnet, Copper coil, Plastic casing, Foam padding","Lead, Brominated Flame Retardants (BFRs), PVC, Phthalates","Landfill waste, toxic fumes from burning plastics","Metal & wiring can be recycled, but plastics have limited recyclability"
CRT-TV,"CRT tube, Circuit board, Display panel, Plastic casing","Lead, Mercury, Arsenic, Indium, Brominated Flame Retardants (BFRs)","Heavy metal toxicity, improper disposal leads to persistent pollution","CRT requires special disposal, metals, plastics & circuit boards are recyclable"
Washing-Machine,"Motor, PCB, Wiring, Drum, Heater, Plastic body","Lead, Brominated Flame Retardants (BFRs), Heavy metals, PVC","Water contamination from chemical leaks, e-waste disposal issues","Highly recyclable: Metal, plastic, and electronic parts can be recovered"
Smartphone,"OLED/LCD display, Battery, PCB, Antenna, Speaker, Sensors","Lead, Mercury, Lithium, Indium, Brominated Flame Retardants (BFRs), Antimony","Soil degradation, toxic leachates, electronic waste crisis, rare metals mining damages ecosystems","Highly recyclable: Precious metals (gold, silver, palladium) can be recovered; batteries need special recycling"
Flat-Panel-TV,"Circuit board, Display panel, Plastic casing","Lead, Mercury, Arsenic, Indium, Brominated Flame Retardants (BFRs)","Heavy metal toxicity, improper disposal leads to persistent pollution","CRT requires special disposal, metals, plastics & circuit boards are recyclable"
